pressure: 1015.701, temp: 5.29737,  time: 3513.069
pressure: 1016.094, temp: 5.240199,  time: 3526.694
pressure: 1016.164, temp: 5.144877,  time: 3540.348
pressure: 1015.803, temp: 5.087661,  time: 3553.955
pressure: 1015.945, temp: 5.03043,  time: 3567.591
pressure: 1016.16, temp: 5.011349,  time: 3581.2
pressure: 1015.799, temp: 4.954095,  time: 3594.891
pressure: 1015.868, temp: 4.858635,  time: 3608.539
pressure: 1016.083, temp: 4.839538,  time: 3622.136
pressure: 1016.115, temp: 4.724916,  time: 3635.726
pressure: 1015.754, temp: 4.667579,  time: 3649.314
pressure: 1015.717, temp: 4.648464,  time: 3662.919
pressure: 1016.325, temp: 4.571982,  time: 3676.482
pressure: 1016.037, temp: 4.552857,  time: 3690.057
pressure: 1016.105, temp: 4.457206,  time: 3703.644
pressure: 1016.068, temp: 4.438069,  time: 3717.224
pressure: 1016.387, temp: 4.342363,  time: 3730.788
pressure: 1016.063, temp: 4.304068,  time: 3744.357
pressure: 1015.487, temp: 4.265765,  time: 3757.989
pressure: 1016.13, temp: 4.208296,  time: 3771.579
pressure: 1016.522, temp: 4.150812,  time: 3785.175
pressure: 1016.449, temp: 4.11248,  time: 3798.772
pressure: 1016.051, temp: 4.035794,  time: 3812.354
pressure: 1015.94, temp: 3.978259,  time: 3826.004
pressure: 1015.83, temp: 3.92071,  time: 3839.601
pressure: 1016.008, temp: 3.882333,  time: 3853.232
pressure: 1015.757, temp: 3.882333,  time: 3866.895
pressure: 1015.646, temp: 3.824755,  time: 3880.513
pressure: 1016.038, temp: 3.767161,  time: 3894.124
pressure: 1015.64, temp: 3.690343,  time: 3907.746
pressure: 1015.854, temp: 3.671134,  time: 3921.345
pressure: 1016.031, temp: 3.63271,  time: 3934.943
pressure: 1015.706, temp: 3.594279,  time: 3948.574
pressure: 1015.957, temp: 3.594279,  time: 3962.194
pressure: 1016.097, temp: 3.536619,  time: 3975.844
pressure: 1015.699, temp: 3.459713,  time: 3989.449
pressure: 1016.163, temp: 3.440482,  time: 4003.047
pressure: 1015.839, temp: 3.402014,  time: 4016.669
pressure: 1015.514, temp: 3.363539,  time: 4030.287
pressure: 1015.942, temp: 3.325057,  time: 4043.954
pressure: 1015.905, temp: 3.305813,  time: 4057.573
pressure: 1015.831, temp: 3.26732,  time: 4071.212
pressure: 1015.971, temp: 3.209566,  time: 4084.834
pressure: 1015.86, temp: 3.151796,  time: 4098.492
pressure: 1015.962, temp: 3.074744,  time: 4112.174
pressure: 1015.953, temp: 2.939831,  time: 4125.833
pressure: 1015.879, temp: 2.901268,  time: 4139.482
pressure: 1015.944, temp: 2.80483,  time: 4153.119
pressure: 1016.009, temp: 2.708344,  time: 4166.783
pressure: 1016.074, temp: 2.611814,  time: 4180.422
pressure: 1015.888, temp: 2.515237,  time: 4194.107
pressure: 1016.277, temp: 2.45727,  time: 4207.764
pressure: 1015.878, temp: 2.379953,  time: 4221.415
pressure: 1015.73, temp: 2.302608,  time: 4235.117
pressure: 1015.868, temp: 2.244579,  time: 4248.752
pressure: 1015.932, temp: 2.147829,  time: 4262.43
pressure: 1016.107, temp: 2.109116,  time: 4276.049
pressure: 1015.995, temp: 2.051032,  time: 4289.688
pressure: 1016.345, temp: 1.973562,  time: 4303.317
pressure: 1015.734, temp: 1.915441,  time: 4317.026
pressure: 1015.622, temp: 1.857303,  time: 4330.61
pressure: 1016.01, temp: 1.799149,  time: 4344.239
pressure: 1016.185, temp: 1.76037,  time: 4357.87
pressure: 1015.573, temp: 1.702187,  time: 4371.525
pressure: 1015.748, temp: 1.66339,  time: 4385.15
pressure: 1015.636, temp: 1.605181,  time: 4398.772
pressure: 1016.31, temp: 1.566365,  time: 4412.436
pressure: 1015.773, temp: 1.546954,  time: 4426.034
pressure: 1015.661, temp: 1.488712,  time: 4439.64
pressure: 1015.836, temp: 1.449874,  time: 4453.288
pressure: 1015.936, temp: 1.372178,  time: 4466.888
pressure: 1016.148, temp: 1.352748,  time: 4480.542
pressure: 1016.36, temp: 1.333318,  time: 4494.142
pressure: 1016.21, temp: 1.255577,  time: 4507.759
pressure: 1015.922, temp: 1.236137,  time: 4521.383
pressure: 1015.81, temp: 1.177807,  time: 4535.014
pressure: 1015.947, temp: 1.11946,  time: 4548.649
pressure: 1015.698, temp: 1.11946,  time: 4562.255
pressure: 1016.121, temp: 1.080552,  time: 4575.897
pressure: 1015.51, temp: 1.022179,  time: 4589.53
pressure: 1016.47, temp: 1.002716,  time: 4603.206
pressure: 1015.572, temp: 0.9248508,  time: 4616.911
pressure: 1015.534, temp: 0.9053804,  time: 4630.61
pressure: 1015.958, temp: 0.866433,  time: 4644.262
pressure: 1016.056, temp: 0.7885164,  time: 4657.924
pressure: 1015.981, temp: 0.7495471,  time: 4671.589
pressure: 1015.619, temp: 0.6910787,  time: 4685.242
pressure: 1016.08, temp: 0.6715864,  time: 4698.97
pressure: 1015.831, temp: 0.6715864,  time: 4712.615
pressure: 1016.389, temp: 0.5740938,  time: 4726.258
pressure: 1015.604, temp: 0.5545905,  time: 4739.916
pressure: 1015.491, temp: 0.4960672,  time: 4753.576
pressure: 1015.703, temp: 0.4765565,  time: 4767.229
pressure: 1016.125, temp: 0.4375286,  time: 4780.887
pressure: 1015.726, temp: 0.3594508,  time: 4794.553
pressure: 1015.975, temp: 0.3594508,  time: 4808.215
pressure: 1015.575, temp: 0.2813436,  time: 4821.893
pressure: 1016.073, temp: 0.2813436,  time: 4835.58
pressure: 1015.959, temp: 0.2227435,  time: 4849.317
pressure: 1015.672, temp: 0.2032072,  time: 4863.039
pressure: 1015.31, temp: 0.144585,  time: 4876.736
pressure: 1015.808, temp: 0.144585,  time: 4890.419
pressure: 1015.408, temp: 0.06639732,  time: 4904.123
pressure: 1015.408, temp: 0.06639732,  time: 4917.85
pressure: 1016.003, temp: -0.01181969,  time: 4931.523
pressure: 1015.89, temp: -0.07050109,  time: 4945.208
pressure: 1015.89, temp: -0.07050109,  time: 4958.912
pressure: 1015.776, temp: -0.1292001,  time: 4972.61
pressure: 1015.528, temp: -0.1292001,  time: 4986.293
pressure: 1015.739, temp: -0.1487694,  time: 4999.963
pressure: 1015.663, temp: -0.1879145,  time: 5013.665
pressure: 1015.836, temp: -0.2270669,  time: 5027.352
pressure: 1015.836, temp: -0.2270669,  time: 5041.053
pressure: 1015.3, temp: -0.2466465,  time: 5054.741
pressure: 1016.046, temp: -0.2466465,  time: 5068.485
pressure: 1015.797, temp: -0.2466465,  time: 5082.182
pressure: 1015.625, temp: -0.2074904,  time: 5095.902
pressure: 1016.333, temp: -0.2270669,  time: 5109.661
pressure: 1015.836, temp: -0.2270669,  time: 5123.397
pressure: 1015.625, temp: -0.2074904,  time: 5137.181
